"Source:","C:\Users\lucas\OneDrive\Documents\GitHub\Beep-Boop\Beacon_Multiboard\Hardware\Beacon_Multiboard.kicad_sch"
"Date:","10/6/2024 4:21:57 PM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","217"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Qty","Sim.Device","Sim.Pins"
"1","7","C301, C302, C303, C404, C609, C612, C1503","1u00_0402_10","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","DNP","","",""
"2","18","C401, C407, C702, C703, C706, C707, C708, C709, C801, C1001, C1102, C1202, C1401, C1402, C1403, C1404, C1501, C1502","100n_0402_16","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"3","3","C402, C502, C503","10u0_0805_16","Device:C_Small","Footprint_Library:0805_2012Metric_Handsolder","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21A106KOQNNNE?qs=sGAEpiMZZMvsSlwiRhF8qlxW52pIu5FNoPpuVCxvaEo%3D","","","",""
"4","22","C403, C408, C504, C505, C506, C533, C534, C603, C604, C605, C606, C608, C613, C614, C615, C616, C617, C618, C619, C701, C705, C1004","1u00_0402_10","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"5","6","C405, C1003, C1405, C1406, C1407, C1408","10n0_0402_25","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"6","9","C406, C410, C411, C412, C413, C531, C532, C601, C602","????_0402_25","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","DNP","","",""
"7","4","C409, C507, C508, C804","100n_0402_16","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","DNP","","",""
"8","4","C501, C1002, C1101, C1201","4u70_0402_10","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"9","5","C509, C514, C607, C610, C611","1u00_1206_10_T","Device:C_Small","Footprint_Library:1206_3216Metric_Handsolder","~","DNP","","",""
"10","5","C511, C512, C513, C704, C1005","????_0402_10","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","DNP","","",""
"11","2","C710, C711","3p90_0402_25","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"12","1","C802","3p30_0402_50_N","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"13","1","C803","3p60_0402_50_N","Device:C_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"14","15","D401, D402, D403, D404, D405, D406, D407, D408, D409, D410, D411, D412, D417, D801, D1501","UHD1110","Beacon_Library:UHD1110","Footprint_Library:UHD1110FKACL1A13r3q1BBQFMF3","https://www.mouser.com/ProductDetail/Cree-LED/UHD1110-FKA-CL1A13r3q1BBQFMF3?qs=sGAEpiMZZMusoohG2hS%252B168PbK3Wnfgf2lFl0mjTADbOub3pvQvbiw%3D%3D","","","",""
"15","2","D413, D414","1N4148WX-TP","Device:D_Filled","Footprint_Library:SOD2512X115N","https://www.mouser.com/ProductDetail/Micro-Commercial-Components-MCC/1N4148WX-TP?qs=Vo7e0yZOYdH7fKyVBspYOg%3D%3D","","","D","1=K 2=A"
"16","4","D415, D504, D505, D507","PESD4USB5B","Beacon_Library:PESD4USB5B-TBSX","Footprint_Library:PESD4USB5BTBSX","https://www.mouser.com/ProductDetail/Nexperia/PESD4USB5B-TBSX?qs=sGAEpiMZZMsItbzKdwyIe0v7IbkW2Xxce7GX43waDW57mBNLazKp2g%3D%3D","","","",""
"17","2","D416, D418","PUSB3TB6AZ","Beacon_Library:PUSB3TB6AZ","Footprint_Library:PUSB3TB6AZ","https://www.mouser.com/ProductDetail/Nexperia/PUSB3TB6AZ?qs=sGAEpiMZZMsItbzKdwyIexOeqgdNqyv4WQQDY34J%252BeOC%252B9EpkeLS%252BQ%3D%3D","","","",""
"18","1","D501","CLYBA-FKA","Beacon_Library:CLYBA-FKA","Footprint_Library:CLYBA-FKA-CFHHKL9BBB7a363","https://www.mouser.com/ProductDetail/Cree-LED/CLYBA-FKA-CFHHKL9BBB7a363?qs=sGAEpiMZZMsl8UZd3ZuU6SjafUtAwjRPx%252BjuMPFf1ELzIwPqPEbQ3Q%3D%3D","","","",""
"19","1","D502","ESDZV5HS-1BF4","Beacon_Library:ESDZV5HS-1BF4","Footprint_Library:0201_0804Metric_Handsolder","https://www.mouser.com/ProductDetail/STMicroelectronics/ESDZV5HS-1BF4?qs=sGAEpiMZZMsItbzKdwyIe%252Bgj7Z%252BBsubrQ0zZprgCTxxqVcRZ201LfA%3D%3D","","","",""
"20","1","D503","BZX84C5V6-TP","Device:D_Zener_Small","Footprint_Library:SOT23_Handsolder","https://www.mouser.com/ProductDetail/Micro-Commercial-Components-MCC/BZX84C5V6-TP?qs=SdqRYZZ9IxADlz9ClHPxXg%3D%3D","","","",""
"21","1","D506","TVSL02V03C011","Beacon_Library:ESDL031-1BF4","Footprint_Library:0201_0804Metric_Handsolder","https://www.mouser.com/ProductDetail/Bussmann-Eaton/TVSL02V03C011?qs=sGAEpiMZZMsItbzKdwyIe0v7IbkW2XxclEaASuSeCBN57ZPJksIo3Q%3D%3D","","","",""
"22","6","F201, F301, F401, F402, F501, F502","1A1_1206_08","Device:Fuse_Small","Footprint_Library:1206_3216Metric_Handsolder","https://www.mouser.com/ProductDetail/YAGEO/SMD1206B110TFT?qs=PzGy0jfpSMt57N16Hl8Plw%3D%3D","","","",""
"23","5","J101, J102, J104, J105, J106","Conn_01x08_Pin","Connector:Conn_01x08_Pin","Footprint_Library:CONN_1x08_P2.00mm_Horizontal","https://www.mouser.com/ProductDetail/EDAC/140-508-210-011?qs=zW32dvEIR3u0k%2FfNT1iVBw%3D%3D","","","",""
"24","1","J404","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Footprint_Library:PinHeader_2x05_P2.54","https://www.mouser.com/ProductDetail/Amphenol-FCI/54102-S30-00?qs=Ux%2FA4WVN8IQ6te2KrIMeWQ%3D%3D","","","",""
"25","1","J501","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Footprint_Library:LEAF_17461421","https://www.mouser.com/ProductDetail/TE-Connectivity/1746142-1?qs=BNrmOlmR3%2Fp%252B%2F5%252BPTzogqQ%3D%3D","","","",""
"26","1","J509","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Footprint_Library:STX3000","https://www.mouser.com/ProductDetail/Kycon/STX-3000?qs=kjZ2mQLP346Nbz1X9BOzfg%3D%3D","","","",""
"27","1","J510","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","Footprint_Library:USB4105-GF-A","https://www.mouser.com/ProductDetail/GCT/USB4105-GF-A?qs=KUoIvG%2F9IlY%2FMLlBMpStpA%3D%3D","","","",""
"28","1","J513","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Footprint_Library:NYS2162U","https://www.mouser.com/ProductDetail/REAN/NYS2162-U?qs=%252B86TLfaev286a5wVB8a3bw%3D%3D","","","",""
"29","1","L501","22u0_0630_1A0_P","Device:L","Footprint_Library:0603_1608Metric_Handsolder","https://www.mouser.com/ProductDetail/Walsin/WLPM706630M2R2LC?qs=w%2Fv1CP2dgqq%2F2uThOntWEA%3D%3D","","","",""
"30","1","L701","2n00_0402_1A0_P","Device:L","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"31","1","L801","2n00_0402_???_R","Device:L","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"32","1","L802","20n0_0402_???_R","Device:L","Footprint_Library:0402_1005Metric_Handsolder","~","DNP","","",""
"33","1","M1301","FIT0774","Beacon_Library:FIT0774","","https://www.mouser.com/ProductDetail/DFRobot/FIT0774?qs=ljCeji4nMDmZzIiC0gR9iA%3D%3D","","","",""
"34","1","MK1201","MP34DT05-A","Beacon_Library:MP34DT05-A","Footprint_Library:MP34DT05TRA","https://www.mouser.com/ProductDetail/STMicroelectronics/MP34DT05TR-A?qs=BZBei1rCqCAMJfcA0UxAnA%3D%3D","","","",""
"35","1","P101","~","Beacon_Library:Crimp","","https://www.mouser.com/ProductDetail/EDAC/140-941-290?qs=zW32dvEIR3ud7XXYSmPSVA%3D%3D","","10","",""
"36","1","PS501","TPS629206","Beacon_Library:TPS629206","Footprint_Library:SOT-583-8","https://www.mouser.com/ProductDetail/Texas-Instruments/TPS629206DRLR?qs=Znm5pLBrcAJy7dSsD9irQg%3D%3D","","","",""
"37","1","PS502","BQ21080","Beacon_Library:BQ21080","Footprint_Library:BGA8C40P2X4_104X159X50","https://www.mouser.com/ProductDetail/Texas-Instruments/BQ21080YBGR?qs=amGC7iS6iy9sW%252B8sMo%2Facg%3D%3D","","","",""
"38","1","PS503","MIC5504-5-SOT23","Beacon_Library:MIC5504-5-SOT23","Footprint_Library:SOT23-5_Handsoldering","https://www.mouser.com/ProductDetail/Microchip-Technology/MIC5504-2.5YM5-TR?qs=U6T8BxXiZAXfKTfMymzCuw%3D%3D","","","",""
"39","1","Q1301","T2N7002AK,LM","Beacon_Library:NMOS","Footprint_Library:TBAT54CLM","https://www.mouser.com/ProductDetail/Toshiba/T2N7002AKLM?qs=pzVvXTvk9PzfX4hYglwZ9Q%3D%3D","","","",""
"40","2","R401, R402","4k70_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"41","2","R403, R513","1k00_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"42","2","R405, R407","0330_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"43","2","R406, R408","0100_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"44","3","R409, R507, R1001","47k0_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","DNP","","",""
"45","3","R501, R502, R503","????_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","DNP","","",""
"46","1","R504","27k4_0603_010","Device:R_Small","Footprint_Library:0603_1608Metric_Handsolder","~","","","",""
"47","2","R505, R506","47k0_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"48","1","R508","220k_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"49","13","R509, R1401, R1402, R1403, R1404, R1409, R1410, R1411, R1412, R1413, R1414, R1415, R1416","10k0_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"50","1","R510","15k0_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"51","5","R511, R512, R516, R801, R1503","0470_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"52","3","R515, R802, R1504","0033_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"53","2","R517, R518","5k10_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"54","2","R701, R702","4k70_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","DNP","","",""
"55","5","R803, R805, R1301, R1505, R1506","0220_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"56","5","R804, R1405, R1406, R1407, R1408","2k20_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","","","",""
"57","1","R1101","10k0_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","DNP","","",""
"58","1","R1201","0000_0805_010","Device:R_Small","Footprint_Library:0603_1608Metric_Handsolder","~","DNP","","",""
"59","2","R1501, R1502","2k20_0402_010","Device:R_Small","Footprint_Library:0402_1005Metric_Handsolder","~","DNP","","",""
"60","1","SW501","SW_SPDT","Switch:SW_SPDT","Footprint_Library:A12AP","https://www.mouser.com/ProductDetail/NKK-Switches/A12AP?qs=GoBI4lfSlcOWDeCKdYFnhw%3D%3D","","","",""
"61","3","SW801, SW802, SW1501","SW_Push","Switch:SW_Push","Footprint_Library:SW_PUSH_6mm","https://www.mouser.com/ProductDetail/CUI-Devices/TS02-66-55-BK-100-LCR-D?qs=sGAEpiMZZMtFyPk3yBMYYEiKb8%2FddSTsAadq%252B8%252BhMMU%3D","","","",""
