"Reference","Value","Footprint","Datasheet","Qty"
"AE801","F-ANTENNA","Footprint_Library:2.4GHz_Inverted_F_Antenna","https://www.ti.com/lit/an/swru120d/swru120d.pdf","1"
"BT501","","","https://www.mouser.com/ProductDetail/Mikroe/MIKROE-1120?qs=yR1Mpqbr%2FWJ2qp8R3RI4GA%3D%3D","1"
"C201, C301, C403, C404, C504-C506, C509, C510, C701, C705, C903-C907, C909-C918, C1503, C1602, C1615","1u00_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","29"
"C401","100n_0603_10","Footprint_Library:0603_1608Metric_Handsolder","~","1"
"C402","10u0_0603_10","Footprint_Library:0603_1608Metric_Handsolder","~","1"
"C501","4u70_0805_25","Footprint_Library:0805_2012Metric_Handsolder","~","1"
"C502","22u0_0603_10","Footprint_Library:0603_1608Metric_Handsolder","~","1"
"C503","????_0603_10","Footprint_Library:0603_1608Metric_Handsolder","~","1"
"C507","20n0_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"C508, C1003, C1405-C1408","10n0_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","6"
"C601, C602, C901, C902, C1608, C1617, C1623, C1629, C1635","????_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","9"
"C603, C1101, C1201","4u70_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","3"
"C702, C703, C706-C709, C801, C804, C1001, C1102, C1202, C1401-C1404, C1501, C1502, C1616","100n_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","18"
"C704","10u0_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"C710, C711","4p00_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","2"
"C802","3p30_0402_25_N","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"C803","3p60_0402_25_N","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"C908","1u00_1206_25_T","Footprint_Library:1206_3216Metric_Handsolder","~","1"
"C1002","2u20_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"C1004","470n_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"C1601, C1614","100p_0402_25","Footprint_Library:0402_1005Metric_Handsolder","~","2"
"C1603, C1604","1","Footprint_Library:TOUCH_SENSE","","2"
